time,open,high,low,close
1702122900000,2358.18,2358.4,2357.33,2358.03
1702122960000,2358.02,2359.4,2356.45,2357.07
1702123020000,2357.01,2358.2,2356.07,2356.98
1702123080000,2356.98,2357.96,2356.82,2356.92
1702123140000,2356.92,2358.5,2356.58,2357.07
1702123200000,2357.07,2357.3,2356.09,2356.12
1702123260000,2356.11,2356.49,2355.31,2356.49
1702123320000,2356.22,2356.22,2355.38,2355.84
1702123380000,2355.84,2356.38,2355.78,2356.32
1702123440000,2356.29,2357.8,2355.78,2357.38
1702123500000,2357.38,2358.9,2355.49,2357.95
1702123560000,2357.97,2358.8,2355.49,2358.36
1702123620000,2358.36,2360.3,2355.5,2359.21
1702123680000,2359.99,2360.55,2359.02,2359.39
1702123740000,2359.4,2360.5,2358.68,2360.11
1702123800000,2360.1,2361.7,2359.73,2359.78
1702123860000,2360.82,2362.1,2359.77,2361.11
1702123920000,2361.3,2363.3,2359.99,2361.95
1702123980000,2361.91,2362.3,2360,2360.3
1702124040000,2360.12,2360.59,2358.48,2359.29
1702124100000,2359.39,2360.3,2359.05,2360.3
1702124160000,2360.2,2360.5,2358.41,2358.7
1702124220000,2358.66,2360.01,2354.48,2355.04
1702124280000,2355.04,2356.66,2353.51,2353.53
1702124340000,2353.53,2355.78,2352.57,2353.3
1702124400000,2352.83,2356.1,2352.83,2355.08
1702124460000,2355.09,2355.09,2352.96,2353.26
1702124520000,2353.04,2355.01,2352.89,2352.89
1702124580000,2352.73,2355.01,2352.28,2353.02
1702124640000,2353.02,2355,2352.4,2352.77
1702124700000,2352.78,2354.37,2351.31,2351.31
1702124760000,2351.37,2352.95,2351.37,2352.95
1702124820000,2353.18,2355,2352.04,2354.52
1702124880000,2354.53,2354.56,2352.5,2354.55
1702124940000,2354.55,2354.78,2352.5,2353.41
1702125000000,2353.41,2355.5,2352.01,2352.21
1702125060000,2352.15,2353.7,2351.05,2353.7
1702125120000,2351.59,2353.6,2351.59,2352.47
1702125180000,2352.46,2353.2,2351.77,2352.97
1702125240000,2352.97,2353.9,2351.74,2353.16
1702125300000,2352.89,2353.6,2351.31,2352.8
1702125360000,2352.83,2353.5,2350.88,2351.46
1702125420000,2351.45,2353.4,2351.32,2353.13
1702125480000,2353.6,2354.13,2352.75,2354.13
1702125540000,2354.13,2355.1,2352.49,2355.02
1702125600000,2355.01,2355.01,2353.65,2354.21
1702125660000,2354.14,2355.9,2352.5,2353.92
1702125720000,2353.91,2353.91,2352.44,2352.84
1702125780000,2352.84,2353.58,2352.75,2352.82
1702125840000,2352.83,2353.33,2351.58,2351.82
1702125900000,2351.88,2354.37,2351.83,2353.34
1702125960000,2354.39,2356.11,2353.34,2356.1
1702126020000,2355.01,2357.19,2354.98,2357.16
1702126080000,2357.15,2358.2,2356.09,2358.16
1702126140000,2358.16,2358.4,2357.16,2357.16
1702126200000,2357.05,2357.82,2356.56,2356.56
1702126260000,2356.57,2358.59,2356.56,2357.79
1702126320000,2357.79,2357.83,2356.32,2357.43
1702126380000,2357.42,2358.23,2356.86,2358.18
1702126440000,2358.07,2358.64,2357.15,2358.64
1702126500000,2358.63,2359.8,2357.15,2358.24
1702126560000,2358.45,2359,2357.16,2358.5
1702126620000,2358.16,2359.06,2357.16,2358.9
1702126680000,2359.05,2359.05,2357.1,2358.41
1702126740000,2358.59,2359.9,2357.16,2358.1
1702126800000,2359.27,2359.5,2356.73,2357.3
1702126860000,2356.88,2358.4,2355.86,2357.16
1702126920000,2356.81,2358.4,2355.02,2356.04
1702126980000,2356,2358.5,2355.78,2356.81
1702127040000,2356.89,2357.22,2356.31,2356.74
1702127100000,2356.81,2357,2355.5,2356.86
1702127160000,2356.9,2359.03,2356.59,2358.39
1702127220000,2358.07,2359.8,2357.95,2359.28
1702127280000,2359.28,2360.7,2359.21,2360.31
1702127340000,2359.26,2360.91,2359.25,2360
1702127400000,2359.86,2359.91,2357.63,2357.76
1702127460000,2357.65,2358.13,2357.6,2357.75
1702127520000,2357.75,2359.2,2356.22,2356.89
1702127580000,2357.14,2357.21,2355.89,2357.02
1702127640000,2357.02,2357.1,2356.33,2356.81
1702127700000,2356.96,2357.35,2356.49,2356.88
1702127760000,2356.88,2358.3,2355.91,2356.63
1702127820000,2356.48,2356.7,2355.46,2355.66
1702127880000,2356.35,2356.35,2354.89,2355.1
1702127940000,2355.09,2355.61,2354.95,2355.29
1702128000000,2355.1,2355.67,2355.01,2355.38
1702128060000,2355.44,2357.25,2355.34,2357.25
1702128120000,2357.17,2357.3,2355.5,2356.53
1702128180000,2356.56,2356.74,2355.5,2355.51
1702128240000,2356.04,2356.99,2355.47,2355.79
1702128300000,2355.84,2355.85,2355.1,2355.25
1702128360000,2355.37,2355.7,2354.54,2354.57
1702128420000,2354.57,2355.59,2354.09,2354.65
1702128480000,2354.83,2355.51,2353.33,2353.6
1702128540000,2353.62,2355.51,2353.05,2355
1702128600000,2355,2355.01,2351.44,2353.9
1702128660000,2351.53,2352.4,2351.05,2351.76
1702128720000,2351.98,2353.8,2351.04,2352.45
1702128780000,2352.67,2356.3,2352.15,2355.8
1702128840000,2356.51,2357.17,2354.61,2354.99
1702128900000,2354.79,2355.66,2354.39,2355.15
1702128960000,2355.23,2356.6,2354.37,2355.29
1702129020000,2355.2,2355.35,2353.26,2354.41
1702129080000,2354.13,2354.77,2353.17,2354.13
1702129140000,2354.54,2355.54,2353.41,2355.26
1702129200000,2355.2,2355.2,2353.52,2353.57
1702129260000,2354.13,2354.13,2351.1,2352.48
1702129320000,2352.31,2353.4,2350.7,2351.88
1702129380000,2351.87,2354.69,2351.01,2354.12
1702129440000,2353.02,2355.7,2352.54,2352.66
1702129500000,2352.9,2355.37,2352.02,2354.18
1702129560000,2355.25,2356.8,2353.52,2355.88
1702129620000,2355.71,2358.92,2354.13,2358.8
1702129680000,2358.85,2361.7,2356.97,2359.17
1702129740000,2360.9,2360.9,2357.88,2359.58
1702129800000,2359.58,2360,2358.42,2358.53
1702129860000,2358.53,2359.5,2356.28,2356.62
1702129920000,2356.73,2356.8,2355.92,2356.14
1702129980000,2356.21,2359.32,2356.21,2358.85
