time,open,high,low,close
1702129140000,43994.67,44036,43980.39,44005.45
1702129200000,43999.9,44035,43974,44022
1702129260000,44015,44016,43957.7,43981.41
1702129320000,43997.1,44006,43956.2,44006
1702129380000,43976.13,44020,43963.2,43997.2
1702129440000,43990.46,43997.2,43977.82,43977.82
1702129500000,44017,44020,43971,43991.57
1702129560000,43991.56,44042,43991.56,44007.61
1702129620000,44007.6,44080,43993,44039
1702129680000,44051.94,44095,43999.9,44060.18
1702129740000,44060.7,44094,44016.6,44052.78
1702129800000,44052.79,44087,44006.3,44024.88
1702129860000,44020.32,44057,43996.5,44003.42
1702129920000,44003.42,44035,43976.7,43994.94
1702129980000,43993.34,44049,43993.34,44012.17
1702130040000,44012.16,44045,43991.5,44011.28
1702130100000,44011.29,44057,43991.7,44053
1702130160000,44016.5,44068,44016.5,44029.52
1702130220000,44026.73,44065,44006.9,44027.27
1702130280000,44030.24,44066,44006.1,44066
1702130340000,44023.56,44065,44001.5,44015.91
1702130400000,44015.92,44079,44005.1,44049.94
1702130460000,44049.94,44079,44012.1,44048
1702130520000,44016.14,44067,44015.74,44030.91
1702130580000,44030.91,44083,44017.1,44051.56
1702130640000,44053.06,44090,44022.3,44070.23
1702130700000,44070.23,44119,44049.6,44079.24
1702130760000,44073.2,44157,44073.2,44157
1702130820000,44123.44,44159,44088,44088.83
1702130880000,44088.83,44126,44064.1,44126
1702130940000,44095.11,44134,44072.9,44099.04
1702131000000,44098.75,44157,44081.2,44128.64
1702131060000,44128.51,44157,44111.79,44120
1702131120000,44117.06,44169,44101.29,44132.09
1702131180000,44132.09,44167,44100.5,44117.7
1702131240000,44117.7,44166,44090.1,44146
1702131300000,44146,44167,44095.58,44129.42
1702131360000,44167,44192,44109.91,44144
1702131420000,44148.54,44192,44113.9,44137.24
1702131480000,44137.03,44171,44102.53,44114.09
1702131540000,44151,44167,44095,44130.01
1702131600000,44130.01,44166,44093.7,44110.27
1702131660000,44107.69,44147,44077,44082.84
1702131720000,44129,44131,44077.36,44131
1702131780000,44092.26,44131,44044.4,44068.06
1702131840000,44068.06,44120,44056.37,44070.38
1702131900000,44070.32,44117,44054.4,44070
1702131960000,44070,44101,44036.32,44074
1702132020000,44075,44081,44021.7,44078
1702132080000,44050.1,44090,44019.7,44040.02
1702132140000,44050.1,44101,44043.18,44099
1702132200000,44099,44099,44037.9,44080
1702132260000,44080,44080,44006.5,44016.49
1702132320000,44013.69,44051,44000.1,44011
1702132380000,44011,44050,44005,44014.82
1702132440000,44019,44050,44003.6,44050
1702132500000,44023.3,44050,44000,44016.95
1702132560000,44023,44049,43998.9,43999.36
1702132620000,44000.1,44041,43983.2,44026
1702132680000,43997.81,44040,43981.85,44012.94
1702132740000,44016.38,44047,43989,43989.01
1702132800000,43989,44024,43940.9,43955.4
1702132860000,43955.39,43991,43937.1,43948.57
1702132920000,43947.4,43980,43927.66,43939.69
1702132980000,43939.68,43962,43858.36,43866
1702133040000,43904,43925,43840.98,43890.96
1702133100000,43890.96,43941,43872.3,43903.5
1702133160000,43925.08,43955,43860.9,43890.21
1702133220000,43887.9,43922,43862.2,43871.76
1702133280000,43871.76,43897,43819.46,43865
1702133340000,43814.1,43866,43773.66,43788.71
1702133400000,43791.21,43895,43791.21,43866.1
1702133460000,43836.56,43920,43836.56,43888.08
1702133520000,43888.07,43917,43821.8,43870.9
1702133580000,43857.08,43889,43788.3,43840.58
1702133640000,43842.52,43908,43831.83,43876.5
1702133700000,43872.2,43929,43842.7,43906.99
1702133760000,43906.99,43953,43891.4,43931.83
1702133820000,43935.72,43979,43909.5,43926.7
1702133880000,43942.78,43987,43921.9,43949.03
1702133940000,43952.91,43993,43926.6,43955.23
1702134000000,43949,43986,43926.7,43954.31
1702134060000,43954.56,43986,43906.8,43915.54
1702134120000,43912.6,43963,43891.86,43938.34
1702134180000,43934.31,43999,43926.7,43972.12
1702134240000,43973.32,44004,43943.1,43954.07
1702134300000,43953.85,43987,43917,43918.76
1702134360000,43919.56,43978,43901.88,43905.72
1702134420000,43910.97,43972,43867.9,43898.51
1702134480000,43900.26,43907.8,43876.2,43895.07
1702134540000,43890.07,43943,43879.81,43902.96
1702134600000,43907.12,43953,43883.91,43919.81
1702134660000,43921.64,43959,43889.4,43915.71
1702134720000,43924.37,43947,43890.1,43913.47
1702134780000,43911.32,43960,43902.3,43923.58
1702134840000,43920.49,43958,43902.67,43919.73
1702134900000,43918.41,43977,43915.58,43925.84
1702134960000,43925.84,43988,43925.84,43950.91
1702135020000,43952.07,43995,43928.6,43965.6
1702135080000,43964.36,43993,43949.9,43955.06
1702135140000,43952.68,43986,43949.9,43949.9
1702135200000,43952.25,43992,43935.1,43964.92
1702135260000,43964.91,43991,43940.8,43968.02
1702135320000,43968.02,44003,43947.9,43999
1702135380000,43974.89,44002,43943,43972.26
1702135440000,43949.9,43973.43,43949.9,43957.17
1702135500000,43957.16,43994,43939.5,43960.36
1702135560000,43955,43987,43938.9,43957.4
1702135620000,43957.41,43983,43921,43950
1702135680000,43941.63,43950,43935,43938.26
1702135740000,43936.61,43969,43912.7,43968
1702135800000,43950,43986,43926.5,43933.28
1702135860000,43934.01,43994,43931.45,43967.82
1702135920000,43967.82,44003,43948.7,43978.31
1702135980000,43976.16,44016,43949.9,43989.9
1702136040000,44018,44019,43949.9,43984.41
1702136100000,43982.47,44001,43972,43977.53
1702136160000,43978.87,44001,43954.4,43969.44
1702136220000,43969.73,44001,43953,43971.37
1702136280000,43971.37,44000,43955.9,43968.9
1702136340000,43968.9,43998,43948.36,43955.75
1702136400000,43958.46,44001,43927.1,43969.93
1702136460000,43966.8,44026,43966.8,43993.24
1702136520000,43993.23,44029,43966.8,43993.17
1702136580000,43966.9,44026,43966.8,43966.8
1702136640000,43980.92,44006,43966.8,43977.06
1702136700000,43979.87,44032,43966.8,44002.75
1702136820000,44003.31,44040,43979.7,43991.19
1702136880000,43992,44037,43977,44011.02
1702136940000,44009.82,44079,43977.1,44079
1702137000000,44033,44084,44009.9,44012
1702137060000,44047.64,44101,44013.4,44062.34
1702137120000,44059.62,44144,44040.2,44097
1702137180000,44100.97,44160,44079.9,44111.49
1702137240000,44111.49,44152,44069.1,44072.05
1702137300000,44109,44148,44047.2,44104.28
1702137360000,44103.83,44140,44080.63,44084.13
1702137420000,44081.24,44132,44071,44083.07
1702137480000,44084.94,44119,44064.37,44072.83
1702137540000,44071.87,44105,44045.4,44060.49
1702137600000,44058.14,44104,44043.5,44092.62
1702137660000,44090.89,44115,44050.4,44065.23
1702137720000,44065.17,44097,44035,44071.02
1702137780000,44069,44107.3,44065,44098
1702137840000,44098,44127,44086.86,44088.89
1702137900000,44088.58,44132,44065,44093.04
1702137960000,44128,44129,44069.59,44072.59
1702138020000,44072.58,44121,44070.55,44074.9
1702138080000,44074.91,44111,44052.4,44053.4
1702138140000,44094,44110,44040.6,44084.38
1702138200000,44084.39,44113,44049.9,44066.52
1702138260000,44063.34,44127,44059,44082.74
1702138320000,44080.65,44118,44063.02,44101
1702138380000,44063.02,44108,44046.3,44069.79
1702138440000,44069.79,44094.1,44053.2,44094.1
1702138500000,44056.39,44094.1,44042.5,44058.82
1702138560000,44057.92,44107,44045.8,44056.78
1702138620000,44056.78,44094.1,44023.2,44034.41
1702138680000,44035.51,44067.2,44014.2,44022.64
1702138740000,44007,44073,44006.2,44034.5
1702138800000,44039,44080,44027.5,44030.4
1702138860000,44049.69,44080,44030,44032.56
1702138920000,44032.62,44066.1,43995.3,44008.19
1702138980000,44030.4,44056,43993.4,44018.45
1702139040000,44018.46,44068,44015.5,44034.85
1702139100000,44031.9,44062,43988.5,44008.99
1702139160000,44010.1,44052,43975.4,43990.73
